Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
A Little Bit,Nina Åström,Finland,2000,English,18,18,No Semifinal,N/A,N/A
Colgado de un sueño,Serafín Zubiri,Spain,2000,Spanish,18,18,No Semifinal,N/A,N/A
La vita cos'è?,Jane Bogaert,Switzerland,2000,Italian,20,14,No Semifinal,N/A,N/A
Nomiza (Νόμιζα),Voice,Cyprus,2000,"Greek, Italian",21,8,No Semifinal,N/A,N/A
Sameach (שמח),PingPong,Israel,2000,Hebrew,22,7,No Semifinal,N/A,N/A
On aura le ciel,Sofia Mestari,France,2000,French,23,5,No Semifinal,N/A,N/A
Envie de vivre,Nathalie Sorce,Belgium,2000,French,24,2,No Semifinal,N/A,N/A
Everybody,"Tanel Padar, Dave Benton & 2XL",Estonia,2001,English,1,198,No Semifinal,N/A,N/A
Never Ever Let You Go,Rollo & King,Denmark,2001,English,2,177,No Semifinal,N/A,N/A
(I Would) Die for You,Antique,Greece,2001,"Greek, English",3,147,No Semifinal,N/A,N/A
Je n'ai que mon âme,Natasha St-Pier,France,2001,"French, English",4,142,No Semifinal,N/A,N/A
Listen to Your Heartbeat,Friends,Sweden,2001,English,5,100,No Semifinal,N/A,N/A
Dile que la quiero,David Civera,Spain,2001,Spanish,6,76,No Semifinal,N/A,N/A
Energy,Nuša Derenda,Slovenia,2001,English,7,70,No Semifinal,N/A,N/A
Wer Liebe lebt,Michelle,Germany,2001,"German, English",8,66,No Semifinal,N/A,N/A
Another Summer Night,Fabrizio Faniello,Malta,2001,English,9,48,No Semifinal,N/A,N/A
Strings of My Heart,Vanna,Croatia,2001,English,10,42,No Semifinal,N/A,N/A
Sevgiliye Son,Sedat Yüce,Turkey,2001,"Turkish, English",11,41,No Semifinal,N/A,N/A
Lady Alpine Blue,Mumiy Troll,Russia,2001,English,12,37,No Semifinal,N/A,N/A
You Got Style,SKAMP,Lithuania,2001,"English, Lithuanian",13,35,No Semifinal,N/A,N/A
Hano,Nino Pršeš,Bosnia and Herzegovina,2001,"Bosnian, English",14,29,No Semifinal,N/A,N/A
No Dream Impossible,Lindsay Dracass,United Kingdom,2001,English,15,28,No Semifinal,N/A,N/A
En Davar (אין דבר),Tal Sondak,Israel,2001,Hebrew,16,25,No Semifinal,N/A,N/A
Só sei ser feliz assim,MTM,Portugal,2001,Portuguese,17,18,No Semifinal,N/A,N/A
Out on My Own,Michelle,Netherlands,2001,English,18,16,No Semifinal,N/A,N/A
Too Much,Arnis Mednis,Latvia,2001,English,18,16,No Semifinal,N/A,N/A
2 Long,Piasek,Poland,2001,English,20,11,No Semifinal,N/A,N/A
Without Your Love,Gary O'Shaughnessy,Ireland,2001,English,21,6,No Semifinal,N/A,N/A
Angel,Two Tricky,Iceland,2001,English,22,3,No Semifinal,N/A,N/A
On My Own,Haldor Lægreid,Norway,2001,English,22,3,No Semifinal,N/A,N/A
I Wanna,Marie N,Latvia,2002,English,1,176,No Semifinal,N/A,N/A
7th Wonder,Ira Losco,Malta,2002,English,2,164,No Semifinal,N/A,N/A
Come Back,Jessica Garlick,United Kingdom,2002,English,3,111,No Semifinal,N/A,N/A
Runaway,Sahlene,Estonia,2002,English,3,111,No Semifinal,N/A,N/A
Il faut du temps,Sandrine François,France,2002,French,5,104,No Semifinal,N/A,N/A
Gimme,One,Cyprus,2002,English,6,85,No Semifinal,N/A,N/A
Europe's Living a Celebration,Rosa,Spain,2002,"Spanish, English",7,81,No Semifinal,N/A,N/A
Never Let It Go,Afro-dite,Sweden,2002,English,8,72,No Semifinal,N/A,N/A
Tell Me Why,Monica Anghel & Marcel Pavel,Romania,2002,English,9,71,No Semifinal,N/A,N/A
Northern Girl,Prime Minister,Russia,2002,English,10,55,No Semifinal,N/A,N/A
Everything I Want,Vesna Pisarović,Croatia,2002,English,11,44,No Semifinal,N/A,N/A
Light a Candle,Sarit Hadad,Israel,2002,"Hebrew, English",12,37,No Semifinal,N/A,N/A
Na jastuku za dvoje (На јастуку за двоје),Maja,Bosnia and Herzegovina,2002,"Serbian, English",13,33,No Semifinal,N/A,N/A
Samo ljubezen,Sestre,Slovenia,2002,Slovene,13,33,No Semifinal,N/A,N/A
Sister,Sergio & The Ladies,Belgium,2002,English,13,33,No Semifinal,N/A,N/A
Leylaklar Soldu Kalbinde,Buket Bengisu & Group Safir,Turkey,2002,"Turkish, English",16,29,No Semifinal,N/A,N/A
S.A.G.A.P.O.,Michalis Rakintzis,Greece,2002,English,17,27,No Semifinal,N/A,N/A
Say a Word,Manuel Ortega,Austria,2002,English,18,26,No Semifinal,N/A,N/A
Od nas zavisi (Од нас зависи),Karolina,North Macedonia,2002,Macedonian,19,25,No Semifinal,N/A,N/A
Addicted to You,Laura,Finland,2002,English,20,24,No Semifinal,N/A,N/A
I Can't Live Without Music,Corinna May,Germany,2002,English,21,17,No Semifinal,N/A,N/A
Dans le jardin de mon âme,Francine Jordi,Switzerland,2002,French,22,15,No Semifinal,N/A,N/A
Happy You,Aivaras,Lithuania,2002,English,23,12,No Semifinal,N/A,N/A
Tell Me Who You Are,Malene Mortensen,Denmark,2002,English,24,7,No Semifinal,N/A,N/A
Everyway That I Can,Sertab Erener,Turkey,2003,English,1,167,No Semifinal,N/A,N/A
Sanomi,Urban Trad,Belgium,2003,Imaginary,2,165,No Semifinal,N/A,N/A
"Ne ver', ne boysia (Не верь, не бойся)",t.A.T.u.,Russia,2003,Russian,3,164,No Semifinal,N/A,N/A
I'm Not Afraid to Move On,Jostein Hasselgård,Norway,2003,English,4,123,No Semifinal,N/A,N/A
Give Me Your Love,Fame,Sweden,2003,English,5,107,No Semifinal,N/A,N/A
Weil der Mensch zählt,Alf Poier,Austria,2003,German,6,101,No Semifinal,N/A,N/A
Keine Grenzen – Żadnych granic,Ich Troje,Poland,2003,"German, Polish, Russian",7,90,No Semifinal,N/A,N/A
Dime,Beth,Spain,2003,Spanish,8,81,No Semifinal,N/A,N/A
Open Your Heart,Birgitta,Iceland,2003,English,8,81,No Semifinal,N/A,N/A
Don't Break My Heart,Nicola,Romania,2003,English,10,73,No Semifinal,N/A,N/A
Let's Get Happy,Lou,Germany,2003,English,11,53,No Semifinal,N/A,N/A
We've Got the World,Mickey Harte,Ireland,2003,English,11,53,No Semifinal,N/A,N/A
One More Night,Esther Hart,Netherlands,2003,English,13,45,No Semifinal,N/A,N/A
Hasta la Vista,Olexandr,Ukraine,2003,English,14,30,No Semifinal,N/A,N/A
Više nisam tvoja,Claudia Beni,Croatia,2003,"Croatian, English",15,29,No Semifinal,N/A,N/A
Ne brini,Mija Martina,Bosnia and Herzegovina,2003,"Croatian, English",16,27,No Semifinal,N/A,N/A
Never Let You Go,Mando,Greece,2003,English,17,25,No Semifinal,N/A,N/A
Monts et merveilles,Louisa Baïleche,France,2003,French,18,19,No Semifinal,N/A,N/A
Words for Love,Lior Narkis,Israel,2003,Hebrew,19,17,No Semifinal,N/A,N/A
Feeling Alive,Stelios Constantas,Cyprus,2003,English,20,15,No Semifinal,N/A,N/A
Eighties Coming Back,Ruffus,Estonia,2003,English,21,14,No Semifinal,N/A,N/A
Deixa-me sonhar,Rita Guerra,Portugal,2003,"Portuguese, English",22,13,No Semifinal,N/A,N/A
Nanana,Karmen,Slovenia,2003,English,23,7,No Semifinal,N/A,N/A
Hello from Mars,F.L.Y.,Latvia,2003,English,24,5,No Semifinal,N/A,N/A
To Dream Again,Lynn Chircop,Malta,2003,English,25,4,No Semifinal,N/A,N/A
Cry Baby,Jemini,United Kingdom,2003,English,26,0,No Semifinal,N/A,N/A
Wild Dances,Ruslana,Ukraine,2004,"English, Ukrainian",1,280,Yes,2,256
Lane moje (Лане моје),Željko Joksimović & Ad-Hoc Orchestra,Serbia and Montenegro,2004,Serbian,2,263,Yes,1,263
Shake It,Sakis Rouvas,Greece,2004,English,3,252,Yes,3,328
For Real,Athena,Turkey,2004,English,4,195,AQ,AQ,AQ
It Hurts,Lena Philipsson,Sweden,2004,English,5,170,AQ,AQ,AQ
Stronger Every Minute,Lisa Andreas,Cyprus,2004,English,5,170,Yes,5,149
The Image of You,Anjeza Shahini,Albania,2004,English,7,106,Yes,4,167
Can't Wait Until Tonight,Max,Germany,2004,"English, Turkish",8,93,AQ,AQ,AQ
In the Disco,Deen,Bosnia and Herzegovina,2004,English,9,91,Yes,7,133
Para llenarme de ti,Ramón,Spain,2004,Spanish,10,87,AQ,AQ,AQ
Believe Me,Julia Savicheva,Russia,2004,English,11,67,AQ,AQ,AQ
On Again... Off Again,Julie and Ludwig,Malta,2004,English,12,50,Yes,8,74
You Are the Only One,Ivan Mikulić,Croatia,2004,English,12,50,Yes,9,72
Life,Toše Proeski,North Macedonia,2004,English,14,47,Yes,10,71
À chaque pas,Jonatan Cerrada,France,2004,"French, Spanish",15,40,AQ,AQ,AQ
Hold On to Our Love,James Fox,United Kingdom,2004,English,16,29,AQ,AQ,AQ
Love Song,Blue Café,Poland,2004,"English, Spanish",17,27,AQ,AQ,AQ
I Admit,Sanda,Romania,2004,English,18,18,AQ,AQ,AQ
Heaven,Jónsi,Iceland,2004,English,19,16,AQ,AQ,AQ
Without You,Re-Union,Netherlands,2004,English,20,11,Yes,6,146
Du bist,Tie Break,Austria,2004,German,21,9,AQ,AQ,AQ
1 Life,Xandee,Belgium,2004,English,22,7,AQ,AQ,AQ
If My World Stopped Turning,Chris Doran,Ireland,2004,English,22,7,AQ,AQ,AQ
High,Knut Anders Sørum,Norway,2004,English,24,3,AQ,AQ,AQ
Notre planète,Maryon,Monaco,2004,French,NQ,NQ,AQ,AQ,AQ
Leha'amin (להאמין),David D'Or,Israel,2004,"Hebrew, English",NQ,NQ,Yes,11,57
Tii,Neiokõsõ,Estonia,2004,Võro,NQ,NQ,Yes,11,57
Shame on You,Tomas Thordarson,Denmark,2004,English,NQ,NQ,Yes,13,56
Takes 2 to Tango,Jari Sillanpää,Finland,2004,English,NQ,NQ,Yes,14,51
Foi magia,Sofia Vitória,Portugal,2004,Portuguese,NQ,NQ,Yes,15,38
What's Happened to Your Love?,Linas and Simona,Lithuania,2004,English,NQ,NQ,Yes,16,26
Dziesma par laimi,Fomins and Kleins,Latvia,2004,Latvian,NQ,NQ,Yes,17,23
Jugarem a estimar-nos,Marta Roure,Andorra,2004,Catalan,NQ,NQ,Yes,18,12
My Galileo,Aleksandra and Konstantin,Belarus,2004,English,NQ,NQ,Yes,19,10
Stay Forever,Platin,Slovenia,2004,English,NQ,NQ,Yes,21,5
Celebrate,Piero Esteriore & The MusicStars,Switzerland,2004,English,NQ,NQ,Yes,22,0
My Number One,Helena Paparizou,Greece,2005,English,1,230,AQ,AQ,AQ
Angel,Chiara,Malta,2005,English,2,192,AQ,AQ,AQ
Let Me Try,Luminița Anghel & Sistem,Romania,2005,English,3,158,Yes,1,235
Hasheket Shenish'ar (השקט שנשאר),Shiri Maimon,Israel,2005,"Hebrew, English",4,154,Yes,7,158
The War Is Not Over,Walters & Kazha,Latvia,2005,English,5,153,Yes,10,85
Boonika bate doba,Zdob și Zdub,Moldova,2005,"English, Romanian",6,148,Yes,2,207
Zauvijek moja (Заувијек моја),No Name,Serbia and Montenegro,2005,Montenegrin,7,137,AQ,AQ,AQ
Cool Vibes,Vanilla Ninja,Switzerland,2005,English,8,128,Yes,8,114
Talking to You,Jakob Sveistrup,Denmark,2005,English,9,125,Yes,3,185
In My Dreams,Wig Wam,Norway,2005,English,9,125,Yes,6,164
Vukovi umiru sami,Boris Novković feat. Lado Members,Croatia,2005,Croatian,11,115,Yes,4,169
"Forogj, világ!",NOX,Hungary,2005,Hungarian,12,97,Yes,5,167
Rimi Rimi Ley,Gülseren,Turkey,2005,Turkish,13,92,AQ,AQ,AQ
Call Me,Feminnem,Bosnia and Herzegovina,2005,English,14,79,AQ,AQ,AQ
Nobody Hurt No One,Natalia Podolskaya,Russia,2005,English,15,57,AQ,AQ,AQ
Tomorrow I Go,Ledina Çelo,Albania,2005,English,16,53,AQ,AQ,AQ
Make My Day,Martin Vučić,North Macedonia,2005,English,17,52,Yes,9,97
Ela Ela,Constantinos Christoforou,Cyprus,2005,English,18,46,AQ,AQ,AQ
Las Vegas,Martin Stenmarck,Sweden,2005,English,19,30,AQ,AQ,AQ
Razom nas bahato (Разом нас багато),GreenJolly,Ukraine,2005,"Ukrainian, English",19,30,AQ,AQ,AQ
Brujería,Son de Sol,Spain,2005,Spanish,21,28,AQ,AQ,AQ
Touch My Fire,Javine,United Kingdom,2005,English,22,18,AQ,AQ,AQ
Chacun pense à soi,Ortal,France,2005,French,23,11,AQ,AQ,AQ
Run and Hide,Gracia,Germany,2005,English,24,4,AQ,AQ,AQ
Czarna dziewczyna,Ivan & Delfin,Poland,2005,"Polish, Russian",NQ,NQ,Yes,11,81
Stop,Omar Naber,Slovenia,2005,Slovene,NQ,NQ,Yes,12,69
Love Me Tonight,Angelica Agurbash,Belarus,2005,English,NQ,NQ,Yes,13,67
Love?,Donna and Joe,Ireland,2005,English,NQ,NQ,Yes,14,53
My Impossible Dream,Glennis Grace,Netherlands,2005,English,NQ,NQ,Yes,14,53
If I Had Your Love,Selma,Iceland,2005,English,NQ,NQ,Yes,16,52
Amar,2B,Portugal,2005,"Portuguese, English",NQ,NQ,Yes,17,51
Why?,Geir Rönning,Finland,2005,English,NQ,NQ,Yes,18,50
Lorraine,Kaffe,Bulgaria,2005,English,NQ,NQ,Yes,19,49
Let's Get Loud,Suntribe,Estonia,2005,English,NQ,NQ,Yes,20,31
Le grand soir,Nuno Resende,Belgium,2005,French,NQ,NQ,Yes,22,29
La mirada interior,Marian van de Wal,Andorra,2005,Catalan,NQ,NQ,Yes,23,27
Tout de moi,Lise Darly,Monaco,2005,French,NQ,NQ,Yes,24,22
Little by Little,Laura & The Lovers,Lithuania,2005,English,NQ,NQ,Yes,25,17
Y así,Global.Kryner,Austria,2005,"English, Spanish",NQ,NQ,Yes,25,17
Hard Rock Hallelujah,Lordi,Finland,2006,English,1,292,1,1,292
Never Let You Go,Dima Bilan,Russia,2006,English,2,248,Yes,3,217
Lejla,Hari Mata Hari,Bosnia and Herzegovina,2006,Bosnian,3,229,Yes,2,267
Tornerò,Mihai Trăistariu,Romania,2006,"English, Italian",4,172,AQ,AQ,AQ
Invincible,Carola,Sweden,2006,English,5,170,Yes,4,214
We Are the Winners,LT United,Lithuania,2006,English,6,162,Yes,5,163
Show Me Your Love,Tina Karol,Ukraine,2006,English,7,145,Yes,7,146
Without Your Love,André,Armenia,2006,English,8,129,Yes,6,150
Everything,Anna Vissi,Greece,2006,English,9,128,AQ,AQ,AQ
Every Song Is a Cry for Love,Brian Kennedy,Ireland,2006,English,10,93,Yes,9,79
Süper Star,Sibel Tüzün,Turkey,2006,"Turkish, English",11,91,Yes,8,91
Moja štikla,Severina,Croatia,2006,Croatian,12,56,AQ,AQ,AQ
Ninanajna (Нинанајна),Elena Risteska,North Macedonia,2006,"English, Macedonian",12,56,Yes,10,76
Alvedansen,Christine Guldbrandsen,Norway,2006,Norwegian,14,36,AQ,AQ,AQ
No No Never,Texas Lightning,Germany,2006,English,14,36,AQ,AQ,AQ
I Hear Your Heart,Vocal Group Cosmos,Latvia,2006,English,16,30,AQ,AQ,AQ
If We All Give a Little,six4one,Switzerland,2006,English,16,30,AQ,AQ,AQ
Twist of Love,Sidsel Ben Semmane,Denmark,2006,English,18,26,AQ,AQ,AQ
Teenage Life,Daz Sampson,United Kingdom,2006,English,19,25,AQ,AQ,AQ
Loca,Arsenium feat. Natalia Gordienko,Moldova,2006,English,20,22,AQ,AQ,AQ
Un Blodymary,Las Ketchup,Spain,2006,Spanish,21,18,AQ,AQ,AQ
Il était temps,Virginie Pouchain,France,2006,French,22,5,AQ,AQ,AQ
Together We Are One,Eddie Butler,Israel,2006,"Hebrew, English",23,4,AQ,AQ,AQ
I Do,Fabrizio Faniello,Malta,2006,English,24,1,AQ,AQ,AQ
Follow My Heart,Ich Troje feat. Real McCoy,Poland,2006,"English, Polish, German, Russian",NQ,NQ,Yes,11,70
Je t'adore,Kate Ryan,Belgium,2006,English,NQ,NQ,Yes,12,69
Congratulations,Silvia Night,Iceland,2006,English,NQ,NQ,Yes,13,62
Zjarr e ftohtë,Luiz Ejlli,Albania,2006,Albanian,NQ,NQ,Yes,14,58
Why Angels Cry,Annet Artani,Cyprus,2006,English,NQ,NQ,Yes,15,57
Mr Nobody,Anžej Dežan,Slovenia,2006,English,NQ,NQ,Yes,16,49
Let Me Cry,Mariana Popova,Bulgaria,2006,English,NQ,NQ,Yes,17,36
Through My Window,Sandra Oxenryd,Estonia,2006,English,NQ,NQ,Yes,18,28
Coisas de nada,Nonstop,Portugal,2006,"Portuguese, English",NQ,NQ,Yes,19,26
Amambanda,Treble,Netherlands,2006,"English, Imaginary",NQ,NQ,Yes,20,22
La Coco-Dance,Séverine Ferrer,Monaco,2006,"French, Tahitian",NQ,NQ,Yes,21,14
Mum,Polina Smolova,Belarus,2006,English,NQ,NQ,Yes,22,10
Sense tu,Jenny,Andorra,2006,Catalan,NQ,NQ,Yes,23,8
Molitva (Молитва),Marija Šerifović,Serbia,2007,Serbian,1,268,Yes,1,298
Dancing Lasha Tumbai (Данцінґ Лаша Тумбай),Verka Serduchka,Ukraine,2007,"German, English, Ukrainian, Russian",2,235,AQ,AQ,AQ
Song #1,Serebro,Russia,2007,English,3,207,AQ,AQ,AQ
Shake It Up Şekerim,Kenan Doğulu,Turkey,2007,English,4,163,Yes,9,197
Water,Elitsa Todorova & Stoyan Yankoulov,Bulgaria,2007,Bulgarian,5,157,Yes,6,146
Work Your Magic,Dmitry Koldun,Belarus,2007,English,6,145,Yes,4,176
Yassou Maria (Γεια σου Μαρία),Sarbel,Greece,2007,English,7,139,AQ,AQ,AQ
Anytime You Need,Hayko,Armenia,2007,"English, Armenian",8,138,AQ,AQ,AQ
Unsubstantial Blues,Magdi Rúzsa,Hungary,2007,English,9,128,Yes,2,224
Fight,Natalia Barbu,Moldova,2007,English,10,109,Yes,10,91
Rijeka bez imena (Ријека без имена),Marija Šestić,Bosnia and Herzegovina,2007,Serbian,11,106,AQ,AQ,AQ
Visionary Dream,Sopho Khalvashi,Georgia,2007,English,12,97,Yes,8,123
"Liubi, Liubi, I Love You (Люби, Люби, I Love You)",Todomondo,Romania,2007,"English, Italian, Spanish, Russian, French, Romanian",13,84,AQ,AQ,AQ
Mojot svet (Мојот свет),Karolina,North Macedonia,2007,"Macedonian, English",14,73,Yes,9,97
Cvet z juga,Alenka Gotar,Slovenia,2007,Slovene,15,66,Yes,7,140
Questa notte,Bonaparti.lv,Latvia,2007,Italian,16,54,Yes,5,168
Leave Me Alone,Hanna Pakarinen,Finland,2007,English,17,53,AQ,AQ,AQ
The Worrying Kind,The Ark,Sweden,2007,English,18,51,AQ,AQ,AQ
Frauen regier'n die Welt,Roger Cicero,Germany,2007,"German, English",19,49,AQ,AQ,AQ
I Love You Mi Vida,D'NASH,Spain,2007,Spanish,20,43,AQ,AQ,AQ
Love or Leave,4Fun,Lithuania,2007,English,21,28,AQ,AQ,AQ
Flying the Flag (For You),Scooch,United Kingdom,2007,English,22,19,AQ,AQ,AQ
L'amour à la française,Les Fatals Picards,France,2007,"French, English (""Franglais"")",22,19,AQ,AQ,AQ
They Can't Stop the Spring,Dervish,Ireland,2007,English,24,5,AQ,AQ,AQ
Dança comigo,Sabrina,Portugal,2007,"Portuguese, English",NQ,NQ,Yes,11,88
Salvem el món,Anonymous,Andorra,2007,"Catalan, English",NQ,NQ,Yes,12,80
Valentine Lost,Eiríkur Hauksson,Iceland,2007,English,NQ,NQ,Yes,13,77
Time to Party,The Jet Set,Poland,2007,English,NQ,NQ,Yes,14,75
"Comme ci, comme ça",Evridiki,Cyprus,2007,French,NQ,NQ,Yes,15,65
Vjerujem u ljubav,Dragonfly feat. Dado Topić,Croatia,2007,"Croatian, English",NQ,NQ,Yes,16,54
Hear My Plea,Frederik Ndoci,Albania,2007,"English, Albanian",NQ,NQ,Yes,17,49
Ven a bailar conmigo,Guri Schanke,Norway,2007,English,NQ,NQ,Yes,18,48
Drama Queen,DQ,Denmark,2007,English,NQ,NQ,Yes,19,45
Vampires Are Alive,DJ BoBo,Switzerland,2007,English,NQ,NQ,Yes,20,40
On Top of the World,Edsilia Rombley,Netherlands,2007,English,NQ,NQ,Yes,21,38
"Ajde, kroči ('Ајде, крочи)",Stevan Faddy,Montenegro,2007,Montenegrin,NQ,NQ,Yes,22,33
Partners in Crime,Gerli Padar,Estonia,2007,English,NQ,NQ,Yes,22,33
Push the Button,Teapacks,Israel,2007,"English, French, Hebrew",NQ,NQ,Yes,24,17
Vertigo,Olivia Lewis,Malta,2007,English,NQ,NQ,Yes,25,15
Love Power,The KMG's,Belgium,2007,English,NQ,NQ,Yes,26,14
Get a Life – Get Alive,Eric Papilaya,Austria,2007,English,NQ,NQ,Yes,27,4
Malá dáma,Kabát,Czech Republic,2007,Czech,NQ,NQ,Yes,28,1
Believe,Dima Bilan,Russia,2008,English,1,272,1,3,135
Shady Lady,Ani Lorak,Ukraine,2008,English,2,230,2,1,152
Secret Combination,Kalomira,Greece,2008,English,3,218,1,1,156
"Qélé, Qélé (Քելե Քելե)",Sirusho,Armenia,2008,"English, Armenian",4,199,1,2,139
Hold On Be Strong,Maria Haukaas Storeng,Norway,2008,English,5,182,1,4,106
Oro (Оро),Jelena Tomašević feat. Bora Dugić,Serbia,2008,Serbian,6,160,AQ,AQ,AQ
Deli,Mor ve Ötesi,Turkey,2008,Turkish,7,138,2,7,85
Day After Day,Elnur and Samir,Azerbaijan,2008,English,8,132,1,6,96
The Fire in Your Eyes,Boaz Ma'uda,Israel,2008,"Hebrew, English",9,124,1,5,104
Pokušaj,Laka,Bosnia and Herzegovina,2008,Bosnian,10,110,1,9,72
Peace Will Come,Diana Gurtskaya,Georgia,2008,English,11,83,2,5,107
Wolves of the Sea,Pirates of the Sea,Latvia,2008,English,12,83,2,6,86
Senhora do mar (Negras águas),Vânia Fernandes,Portugal,2008,Portuguese,13,69,2,2,120
This Is My Life,Euroband,Iceland,2008,English,14,64,2,8,68
All Night Long,Simon Mathew,Denmark,2008,English,15,60,2,3,112
Baila el Chiki-chiki,Rodolfo Chikilicuatre,Spain,2008,"Spanish, English",16,55,AQ,AQ,AQ
Zemrën e lamë peng,Olta Boka,Albania,2008,Albanian,17,55,2,9,67
Hero,Charlotte Perrelli,Sweden,2008,English,18,47,2,12,54
Divine,Sébastien Tellier,France,2008,"English, French",19,47,AQ,AQ,AQ
Pe-o margine de lume,Nico and Vlad,Romania,2008,"Romanian, Italian",20,45,1,7,94
Romanca,Kraljevi ulice and 75 Cents,Croatia,2008,Croatian,21,44,2,4,112
Missä miehet ratsastaa,Teräsbetoni,Finland,2008,Finnish,22,35,1,8,79
Disappear,No Angels,Germany,2008,English,23,14,AQ,AQ,AQ
For Life,Isis Gee,Poland,2008,English,24,14,1,10,42
Even If,Andy Abraham,United Kingdom,2008,English,25,14,AQ,AQ,AQ
Vrag naj vzame,Rebeka Dremelj,Slovenia,2008,Slovene,NQ,NQ,1,11,36
A Century of Love,Geta Burlacu,Moldova,2008,English,NQ,NQ,1,12,36
Your Heart Belongs to Me,Hind,Netherlands,2008,English,NQ,NQ,1,13,27
Zauvijek volim te (Заувијек волим те),Stefan Filipović,Montenegro,2008,Montenegrin,NQ,NQ,1,14,23
Irelande Douze Pointe,Dustin the Turkey,Ireland,2008,English,NQ,NQ,1,15,22
Casanova,Gisela,Andorra,2008,"English, Catalan",NQ,NQ,1,16,22
O Julissi,Ishtar,Belgium,2008,Imaginary,NQ,NQ,1,17,16
Leto svet,Kreisiraadio,Estonia,2008,"Serbian, German, Finnish",NQ,NQ,1,18,8
Complice,Miodio,San Marino,2008,Italian,NQ,NQ,1,19,5
Let Me Love You,"Tamara, Vrčak & Adrian",North Macedonia,2008,English,NQ,NQ,2,10,64
"DJ, Take Me Away",Deep Zone and Balthazar,Bulgaria,2008,English,NQ,NQ,2,11,56
Era stupendo,Paolo Meneguzzi,Switzerland,2008,Italian,NQ,NQ,2,13,47
Vodka,Morena,Malta,2008,English,NQ,NQ,2,14,38
Femme Fatale,Evdokia Kadi,Cyprus,2008,Greek,NQ,NQ,2,15,36
Nomads in the Night,Jeronimas Milius,Lithuania,2008,English,NQ,NQ,2,16,30
Hasta la Vista,Ruslan Alekhno,Belarus,2008,English,NQ,NQ,2,17,27
Have Some Fun,Tereza Kerndlová,Czech Republic,2008,English,NQ,NQ,2,18,9
Candlelight,Csézy,Hungary,2008,"English, Hungarian",NQ,NQ,2,19,6
Fairytale,Alexander Rybak,Norway,2009,English,1,387,2,1,201
Is It True?,Yohanna,Iceland,2009,English,2,218,1,1,174
Always,AySel and Arash[73],Azerbaijan,2009,English,3,207,2,2,180
Düm Tek Tek,Hadise,Turkey,2009,English,4,177,1,2,172
It's My Time,Jade Ewen,United Kingdom,2009,English,5,173,AQ,AQ,AQ
Rändajad,Urban Symphony,Estonia,2009,Estonian,6,129,2,3,115
This Is Our Night,Sakis Rouvas,Greece,2009,English,7,120,2,4,110
Et s'il fallait le faire,Patricia Kaas,France,2009,French,8,107,AQ,AQ,AQ
Bistra voda,Regina,Bosnia and Herzegovina,2009,Bosnian,9,106,1,3,125
Jan Jan (Ջան Ջան),Inga and Anush,Armenia,2009,"English, Armenian",10,92,1,5,99
Mamo (Мамо),Anastasiya Prikhodko,Russia,2009,"Russian, Ukrainian",11,91,AQ,AQ,AQ
Be My Valentine,Svetlana Loboda,Ukraine,2009,English,12,76,2,6,80
Believe Again,Niels Brinck,Denmark,2009,English,13,74,2,8,69
Hora din Moldova,Nelly Ciobanu,Moldova,2009,"Romanian, English",14,69,2,5,106
Todas as ruas do amor,Flor-de-Lis,Portugal,2009,Portuguese,15,57,1,8,70
There Must Be Another Way,Noa and Mira Awad,Israel,2009,"English, Hebrew, Arabic",16,53,1,7,75
Carry Me in Your Dreams,Kejsi Tola,Albania,2009,English,17,48,2,7,73
Lijepa Tena,Igor Cukrov feat. Andrea,Croatia,2009,Croatian,18,45,2,13,33
The Balkan Girls,Elena,Romania,2009,English,19,40,1,9,67
Miss Kiss Kiss Bang,Alex Swings Oscar Sings![74],Germany,2009,English,20,35,AQ,AQ,AQ
La voix,Malena Ernman,Sweden,2009,"French, English",21,33,1,4,105
What If We,Chiara,Malta,2009,English,22,31,1,6,86
Love,Sasha Son,Lithuania,2009,"English, Russian",23,23,2,9,66
La noche es para mí,Soraya Arnelas,Spain,2009,"Spanish, English",24,23,AQ,AQ,AQ
Lose Control,Waldo's People,Finland,2009,English,25,22,1,12,42
Nešto što kje ostane (Нешто што ќе остане),Next Time,North Macedonia,2009,Macedonian,NQ,NQ,1,10,45
Just Get Out of My Life,Andrea Demirović,Montenegro,2009,English,NQ,NQ,1,11,44
Eyes That Never Lie,Petr Elfimov,Belarus,2009,English,NQ,NQ,1,13,25
The Highest Heights,Lovebugs,Switzerland,2009,English,NQ,NQ,1,14,15
La teva decisió (Get a Life),Susanne Georgi,Andorra,2009,"Catalan, English",NQ,NQ,1,15,8
Illusion,Krassimir Avramov,Bulgaria,2009,English,NQ,NQ,1,16,7
Copycat,Copycat,Belgium,2009,English,NQ,NQ,1,17,1
Aven Romale,Gipsy.cz,Czech Republic,2009,"English, Romani",NQ,NQ,1,18,0
Cipela (Ципела),Marko Kon and Milaan[72],Serbia,2009,Serbian,NQ,NQ,2,10,60
Et Cetera,Sinéad Mulvey and Black Daisy,Ireland,2009,English,NQ,NQ,2,11,52
I Don't Wanna Leave,Lidia Kopania,Poland,2009,English,NQ,NQ,2,12,43
Firefly,Christina Metaxa,Cyprus,2009,English,NQ,NQ,2,14,32
